n,rt_qs,rt_ms,c_qs,c_ms
100,19,93,693,316
100,18,94,630,316
100,13,77,554,316
100,19,75,809,316
100,17,74,587,316
100,18,83,567,316
100,19,91,617,316
100,18,90,627,316
100,18,88,685,316
100,19,88,677,316
100,23,94,810,316
100,19,84,730,316
100,14,77,552,316
100,14,78,658,316
100,25,77,688,316
100,19,93,675,316
100,15,73,691,316
100,14,72,660,316
100,18,95,557,316
100,14,81,606,316
100,19,90,624,316
100,13,85,619,316
100,22,79,783,316
100,20,80,613,316
100,14,74,619,316
100,17,79,568,316
100,18,93,565,316
100,18,91,743,316
100,14,73,678,316
100,18,94,608,316
100,15,82,610,316
100,17,87,628,316
100,14,74,599,316
100,18,73,614,316
100,14,76,659,316
100,14,73,562,316
100,19,90,738,316
100,16,73,674,316
100,19,72,679,316
100,16,85,710,316
100,14,73,614,316
100,16,74,769,316
100,16,74,729,316
100,13,76,563,316
100,18,82,792,316
100,20,95,719,316
100,14,77,631,316
100,19,90,684,316
100,18,105,626,316
100,19,87,636,316
100,18,117,681,316
100,18,94,607,316
100,29,89,694,316
100,19,94,661,316
100,17,76,618,316
100,15,79,704,316
100,17,96,588,316
100,19,89,710,316
100,17,94,612,316
100,14,76,579,316
100,22,91,782,316
100,15,81,720,316
100,19,84,751,316
100,14,74,589,316
100,14,76,712,316
100,17,84,610,316
100,23,80,624,316
100,14,73,580,316
100,20,78,718,316
100,15,76,608,316
100,13,74,659,316
100,17,84,635,316
100,20,94,722,316
100,16,83,641,316
100,18,80,597,316
100,18,90,588,316
100,18,89,661,316
100,16,75,695,316
100,20,93,657,316
100,16,75,618,316
100,15,73,679,316
100,17,88,606,316
100,15,75,752,316
100,18,94,596,316
100,17,97,681,316
100,22,81,777,316
100,15,81,639,316
100,14,93,637,316
100,15,75,611,316
100,18,86,629,316
100,14,75,581,316
100,18,75,563,316
100,18,78,616,316
100,15,73,625,316
100,17,90,713,316
100,17,74,665,316
100,19,93,649,316
100,19,88,690,316
100,16,84,569,316
100,18,87,639,316
100,17,92,612,316
100,18,91,561,316
100,21,129,683,316
100,14,81,619,316
100,17,84,652,316
100,17,99,785,316
100,18,138,600,316
100,18,97,600,316
100,19,94,672,316
100,106,106,574,316
100,102,93,658,316
100,18,84,750,316
100,18,90,598,316
100,77,596,672,316
100,18,206,658,316
100,18,134,644,316
100,18,108,602,316
100,19,104,623,316
100,18,88,531,316
100,509,275,648,316
100,19,92,668,316
100,23,85,604,316
100,19,89,698,316
100,17,353,593,316
100,18,85,608,316
100,17,79,576,316
100,19,82,613,316
100,16,74,731,316
100,16,75,722,316
100,17,89,568,316
100,14,79,597,316
100,14,75,626,316
100,14,73,550,316
100,19,81,623,316
100,15,261,572,316
100,15,77,632,316
100,15,76,587,316
100,15,75,712,316
100,14,74,576,316
100,16,77,686,316
100,20,92,687,316
100,20,79,636,316
100,19,94,615,316
100,19,98,652,316
100,13,74,602,316
100,14,72,620,316
100,14,82,619,316
100,15,74,574,316
100,16,78,621,316
100,17,82,606,316
100,15,75,783,316
100,19,73,661,316
100,15,75,605,316
100,14,84,595,316
100,20,95,587,316
100,17,85,700,316
100,20,94,626,316
100,17,77,606,316
100,19,89,602,316
100,15,81,613,316
100,15,74,616,316
100,20,93,607,316
100,15,78,774,316
100,17,250,636,316
100,18,92,587,316
100,17,86,598,316
100,25,78,587,316
100,18,91,620,316
100,20,89,732,316
100,34,79,644,316
100,19,93,734,316
100,18,94,636,316
100,20,94,594,316
100,19,93,675,316
100,19,93,667,316
100,18,94,587,316
100,13,86,629,316
100,18,89,668,316
100,18,93,677,316
100,19,93,610,316
100,18,88,636,316
100,17,94,657,316
100,18,79,636,316
100,17,102,602,316
100,14,77,603,316
100,18,93,611,316
100,20,92,625,316
100,14,77,615,316
100,18,92,579,316
100,17,92,639,316
100,20,93,726,316
100,18,85,648,316
100,15,87,631,316
100,14,76,597,316
100,20,75,703,316
100,26,79,593,316
100,19,95,564,316
100,18,94,606,316
100,20,93,584,316
100,19,95,607,316
100,20,87,652,316
100,14,76,590,316
100,14,77,575,316
100,14,74,667,316
100,20,93,600,316
100,16,76,849,316
100,19,78,741,316
100,18,93,604,316
100,19,95,620,316
100,18,98,586,316
100,16,75,730,316
100,15,82,683,316
100,19,89,637,316
100,18,84,621,316
100,18,77,684,316
100,13,72,572,316
100,18,75,605,316
100,15,79,697,316
100,18,88,603,316
100,16,76,633,316
100,17,80,596,316
100,14,77,620,316
100,18,80,590,316
100,14,75,650,316
100,14,76,715,316
100,15,72,736,316
100,18,94,632,316
100,16,76,625,316
100,15,96,626,316
100,23,97,802,316
100,14,74,572,316
100,14,75,618,316
100,13,82,610,316
100,15,82,714,316
100,18,82,562,316
100,18,80,611,316
100,17,89,646,316
100,15,73,578,316
100,17,82,553,316
100,15,75,657,316
100,20,98,766,316
100,16,78,626,316
100,19,94,655,316
100,16,74,716,316
100,16,89,626,316
100,19,80,626,316
100,15,76,635,316
100,18,90,609,316
100,15,73,626,316
100,15,74,692,316
100,16,75,708,316
100,16,74,813,316
100,14,75,674,316
100,20,102,638,316
100,23,115,666,316
100,16,75,714,316
100,18,85,600,316
100,14,75,572,316
100,17,84,583,316
100,14,75,630,316
100,15,80,648,316
100,14,79,708,316
100,14,76,590,316
100,18,78,638,316
100,17,81,684,316
100,17,75,538,316
100,29,95,584,316
100,16,81,583,316
100,14,75,603,316
100,14,73,589,316
100,17,157,628,316
100,21,98,679,316
100,18,93,603,316
100,24,94,720,316
100,16,93,611,316
100,20,93,587,316
100,18,75,676,316
100,17,88,606,316
100,17,79,569,316
100,18,78,644,316
100,17,72,735,316
100,20,82,653,316
100,15,90,632,316
100,14,74,658,316
100,16,75,678,316
100,17,93,616,316
100,14,73,587,316
100,19,83,631,316
100,17,86,590,316
100,14,75,619,316
100,18,87,601,316
100,20,95,662,316
100,15,76,657,316
100,16,82,604,316
100,20,85,770,316
100,20,84,842,316
100,14,74,600,316
100,14,72,598,316
100,17,80,681,316
100,17,88,689,316
100,17,82,589,316
100,18,86,574,316
100,14,74,626,316
100,20,89,644,316
100,21,96,689,316
100,21,95,728,316
100,18,91,602,316
100,22,93,771,316
100,20,93,770,316
100,14,75,579,316
100,14,75,563,316
100,14,75,614,316
100,14,77,682,316
100,17,78,713,316
100,17,80,612,316
100,14,74,609,316
100,20,94,697,316
100,18,80,608,316
100,19,94,634,316
100,15,75,760,316
100,16,78,757,316
100,17,92,685,316
100,17,79,630,316
100,16,89,623,316
100,18,95,627,316
100,19,81,759,316
100,37,90,754,316
